"station","lat","lon","elev","depth","t.lm","t.rf","t.rflm"
"charlevoix",45.2547,-85.3196,240,10,9.52604056969051,9.94091279782589,9.87237579423149
"charlevoix",45.2547,-85.3196,240,50,9.29464174120076,9.90859751244375,9.65427320156565
"charlotte",42.6509,-84.916,285,0,9.21577565687372,9.33832187437837,9.42626628741385
"charlotte",42.6509,-84.916,285,10,11.5696581453212,10.6620087461214,10.5150936146869
"charlotte",42.6509,-84.916,285,50,11.3382593168315,10.7637173912906,10.3283219941797
"clarksville",42.8733,-85.2604,273,0,9.13038257209158,8.95726877543486,8.8491211426858
"clarksville",42.8733,-85.2604,273,10,11.4842650605391,11.3177501894164,11.3341025076448
"clarksville",42.8733,-85.2604,273,50,11.2528662320493,10.8190681021137,10.8713463790218
"conklin",43.1187,-85.8284,250,0,9.12191318851472,9.05129250619196,9.17572860758157
"conklin",43.1187,-85.8284,250,10,11.4757956769622,11.4291573940557,11.4138501710755
"conklin",43.1187,-85.8284,250,50,11.2443968484725,11.3113257388852,11.308870372629
"constantine",41.8243,-85.6591,254,0,10.2623527472049,9.95543846442644,9.99101541006929
"constantine",41.8243,-85.6591,254,10,12.6162352356524,12.0934142504027,12.1069880455615
"constantine",41.8243,-85.6591,254,50,12.3848364071626,11.9043839104391,11.9035708116086
"deerfield",41.8626,-83.7979,208,0,10.3170834069184,10.1562287387245,10.2304233485805
"deerfield",41.8626,-83.7979,208,10,12.6709658953659,12.3423473828904,12.4475999580715
"deerfield",41.8626,-83.7979,208,50,12.4395670668762,12.1272108037772,12.2534144814276
"eastleland",45.0301,-85.6743,257,0,7.30665445489939,7.56531069602669,7.46352988380931
"eastleland",45.0301,-85.6743,257,10,9.66053694334687,9.7943304393391,9.79546262356818
"eastleland",45.0301,-85.6743,257,50,9.42913811485713,9.87447573282785,9.53439332887534
"eastport",45.1081,-85.3247,228,0,7.3860763483065,7.87913729058705,7.85862543601888
"eastport",45.1081,-85.3247,228,10,9.73995883675398,10.1082802281947,10.2225186442497
"eastport",45.1081,-85.3247,228,50,9.50856000826423,10.1209046138075,9.95666813636797
"elbridge",43.6793,-86.1893,276,0,8.4783413532152,8.34699934247623,8.26930382885119
"elbridge",43.6793,-86.1893,276,10,10.8322238416627,10.8056363350549,10.7500392364673
"elbridge",43.6793,-86.1893,276,50,10.6008250131729,10.5946646766334,10.5384639583324
"elkrapids",44.8448,-85.4062,198,0,7.83417040748112,8.0019145519854,7.98531745315979
"elkrapids",44.8448,-85.4062,198,10,10.1880528959286,10.5087532433899,10.526543060542
"elkrapids",44.8448,-85.4062,198,50,9.95665406743886,10.4049868651222,10.369200013547
"emmett",42.9915,-82.76,240,0,8.95317003994977,8.90447929989754,8.86169498507679
"emmett",42.9915,-82.76,240,10,11.3070525283973,10.8755426954392,10.8449630194685
"emmett",42.9915,-82.76,240,50,11.0756536999075,10.9388533230528,10.6293697265685
"entrican",43.3541,-85.1791,290,0,8.56857980788224,8.54395712033104,8.41451193001367
"entrican",43.3541,-85.1791,290,10,10.9224622963297,10.5880089672255,10.6256953557396
"entrican",43.3541,-85.1791,290,50,10.69106346784,10.37500629663,10.4333847882989
"fennville",42.5951,-86.1561,214,0,9.87620923531865,9.53919525132212,9.52998903523398
"fennville",42.5951,-86.1561,214,10,12.2300917237661,12.0993079790836,12.1343868453187
"fennville",42.5951,-86.1561,214,50,11.9986928952764,12.0503189264496,11.8511927527572
"freeland",43.5631,-84.0233,182,0,8.95575175300785,8.77119986786381,8.81597711579723
"freeland",43.5631,-84.0233,182,10,11.3096342414553,10.3321602874567,10.2748478704882
"freeland",43.5631,-84.0233,182,50,11.0782354129656,10.5144177009951,10.1130425834994
"fremont",43.4225,-85.9551,233,0,8.9699298889832,8.82447625157915,8.79954953765073
"fremont",43.4225,-85.9551,233,10,11.3238123774307,11.5485132540868,11.699992183737
"fremont",43.4225,-85.9551,233,50,11.0924135489409,11.2934940937269,11.5298000919596
"gaylord",45.0315,-84.8481,434,0,6.04564466990191,6.65669844409602,6.61214598974543
"gaylord",45.0315,-84.8481,434,10,8.39952715834939,9.07135489510144,8.97009459405937
"gaylord",45.0315,-84.8481,434,50,8.16812832985964,8.97021455605131,8.73789966586292
"grant",43.3232,-85.8484,241,0,8.99605132472954,8.84368207819033,8.8303443485134
"grant",43.3232,-85.8484,241,10,11.349933813177,11.1646683194395,11.1760693134464
"grant",43.3232,-85.8484,241,50,11.1185349846873,11.0904838263928,11.0851041639561
"hart",43.7366,-86.3594,233,0,8.72836539640655,8.47758430812052,8.51387039606136
"hart",43.7366,-86.3594,233,10,11.082247884854,10.9833608985971,11.1679063074181
"hart",43.7366,-86.3594,233,50,10.8508490563643,10.894544606059,11.0208940074705
"haslett",42.7703,-84.3297,281,0,9.06559957595509,9.39378504467962,9.63175737504113
"haslett",42.7703,-84.3297,281,10,11.4194820644026,11.4504404021419,11.8001456581888
"haslett",42.7703,-84.3297,281,50,11.1880832359128,11.3023602809948,11.5917884532569
"hastings",42.535,-85.3019,283,0,9.3793091774825,9.29284731537216,9.20980851708924
"hastings",42.535,-85.3019,283,10,11.73319166593,11.4319505330571,11.406513560873
"hastings",42.535,-85.3019,283,50,11.5017928374402,11.4230262965426,11.2513138058138
"hawks",45.2994,-83.8528,252,0,6.8843469839333,6.90218576015699,6.78855286440543
"hawks",45.2994,-83.8528,252,10,9.23822947238079,9.81374012067647,9.81453447966965
"hawks",45.2994,-83.8528,252,50,9.00683064389104,9.76281190562346,9.56249136605243
"ithaca",43.3154,-84.4884,218,0,8.99897406638059,8.91951495841922,8.97916434285803
"ithaca",43.3154,-84.4884,218,10,11.3528565548281,10.7253537700236,10.6744873980246
"ithaca",43.3154,-84.4884,218,50,11.1214577263383,10.8777039055704,10.527878048667
"kalamazoo",42.3546,-85.5855,268,0,9.67581979341994,9.3939885591815,9.26711015779403
"kalamazoo",42.3546,-85.5855,268,10,12.0297022818674,12.1144432839706,12.2887041624597
